2021-08-22 18:14:49 INFO  LaunchBrowser:16 - test started
2021-08-22 18:16:14 INFO  LaunchBrowser:18 - test started
2021-08-22 18:17:10 INFO  LaunchBrowser:18 - test started
2021-08-22 18:19:33 INFO  LaunchBrowser:18 - test started
2021-08-22 18:25:22 INFO  LaunchBrowser:18 - test started
2021-08-22 18:26:24 INFO  LaunchBrowser:18 - test started
2021-08-22 18:29:33 INFO  LaunchBrowser:18 - test started
2021-08-22 18:29:33 ERROR LaunchBrowser:23 - java.lang.NullPointerException: Cannot invoke "java.util.Properties.getProperty(String)" because "com.Levi.Utilities.CommonUtilsLevi.properties" is null
2021-08-22 18:30:24 INFO  LaunchBrowser:17 - test started
2021-08-22 18:30:24 ERROR LaunchBrowser:22 - java.lang.NullPointerException: Cannot invoke "java.util.Properties.getProperty(String)" because "com.Levi.Utilities.CommonUtilsLevi.properties" is null
2021-08-22 18:31:01 INFO  LaunchBrowser:17 - test started
2021-08-22 18:32:42 INFO  LaunchBrowser:17 - test started
2021-08-22 18:40:35 INFO  LaunchBrowser:17 - test started
2021-08-22 18:43:08 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 18:43:09 INFO  LaunchBrowser:17 - test started
2021-08-22 19:14:50 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:14:52 INFO  LaunchBrowser:17 - test started
2021-08-22 19:25:07 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:25:08 INFO  LaunchBrowser:17 - test started
2021-08-22 19:27:00 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:27:02 INFO  LaunchBrowser:17 - test started
2021-08-22 19:31:03 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:31:04 INFO  LaunchBrowser:17 - test started
2021-08-22 19:32:15 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:32:16 INFO  LaunchBrowser:17 - test started
2021-08-22 19:33:50 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:33:52 INFO  LaunchBrowser:17 - test started
2021-08-22 19:35:10 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:35:12 INFO  LaunchBrowser:17 - test started
2021-08-22 19:37:02 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:37:04 INFO  LaunchBrowser:17 - test started
2021-08-22 19:38:30 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:38:31 INFO  LaunchBrowser:17 - test started
2021-08-22 19:40:16 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:40:17 INFO  LaunchBrowser:17 - test started
2021-08-22 19:42:06 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:42:08 INFO  LaunchBrowser:17 - test started
2021-08-22 19:42:54 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:42:55 INFO  LaunchBrowser:17 - test started
2021-08-22 19:43:52 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:43:54 INFO  LaunchBrowser:17 - test started
2021-08-22 19:45:14 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:45:15 INFO  LaunchBrowser:17 - test started
2021-08-22 19:46:31 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:46:32 INFO  LaunchBrowser:17 - test started
2021-08-22 19:55:29 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:55:30 INFO  LaunchBrowser:17 - test started
2021-08-22 19:56:34 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:56:35 INFO  LaunchBrowser:17 - test started
2021-08-22 19:58:58 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 19:58:59 INFO  LaunchBrowser:17 - test started
2021-08-22 20:03:31 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 20:03:32 INFO  LaunchBrowser:17 - test started
2021-08-22 20:06:03 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-22 20:06:04 INFO  LaunchBrowser:17 - test started
2021-08-24 07:14:27 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 07:14:29 INFO  LaunchBrowser:17 - test started
2021-08-24 08:01:05 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:01:07 INFO  LaunchBrowser:17 - test started
2021-08-24 08:02:03 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:02:04 INFO  LaunchBrowser:17 - test started
2021-08-24 08:06:34 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:06:35 INFO  LaunchBrowser:17 - test started
2021-08-24 08:06:42 INFO  LocationSelection:18 - inside find location
2021-08-24 08:06:42 INFO  LocationSelection:22 - inside find locationAfrica & Middle East
2021-08-24 08:06:42 INFO  LocationSelection:18 - inside find location
2021-08-24 08:08:00 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:08:02 INFO  LaunchBrowser:17 - test started
2021-08-24 08:08:07 INFO  LocationSelection:18 - inside find location
2021-08-24 08:08:07 INFO  LocationSelection:21 - inside find locationAfrica & Middle East
2021-08-24 08:08:07 INFO  LocationSelection:21 - inside find location
2021-08-24 08:08:07 INFO  LocationSelection:21 - inside find location
2021-08-24 08:08:07 INFO  LocationSelection:21 - inside find location
2021-08-24 08:08:07 INFO  LocationSelection:21 - inside find location
2021-08-24 08:08:07 INFO  LocationSelection:18 - inside find location
2021-08-24 08:19:38 INFO  CommonUtilsLevi:36 - in launch Browser Common Utilitis
2021-08-24 08:19:40 INFO  LaunchBrowser:17 - test started
2021-08-24 08:19:44 INFO  LocationSelection:18 - inside find location
2021-08-24 08:19:44 INFO  LocationSelection:21 - inside find location[[ChromeDriver: chrome on WINDOWS (c0021ccc087bb25533ba2e65275d379f)] -> xpath: //a[contains(@data-target,'data-drilldown')]]
2021-08-24 08:19:44 INFO  LocationSelection:22 - inside find locationAfrica & Middle East
